Course Name,Description
CHE507H1,Data-based Modelling for Prediction and Control This course will teach students how to build mathematical models of dynamic systems and how to use these models for prediction and control purposes The course will deal primarily with a system identification approach to modelling using observations from the system to build a model Both continuous time and discrete time representations will be treated along with deterministic and stochastic models This course will make extensive use of interactive learning by having students use computer based tools available in the Matlab software package eg the System Identification Toolbox and the Model Predictive Control Toolbox
CHE561H1,Risk Based Safety Management This course provides an introduction to Process Safety Management The historical drivers to improve safety performance are reviewed and the difference between safety management and occupational health and safety is discussed National and international standards for PSM are reviewed Risk analysis is introduced along with techniques for process hazard analysis and quantification Consequence and frequency modelling is introduced Rsik based decision making is introduced and the course concludes with a discussio of the key management systems required for a successful PSM system
CHE562H1,Applied Chemistry IV This course serves as an introduction to concepts in polymer chemistry polymer science and polymer engineering This includes a discussion of the mechanisms of step growth chain growth and ring-opening polymerizations with a focus on industrially relevant polymers and processes The description of polymers in solution as well as the solid state will be explored Several modern polymer characterization techniques are introduced including gel permeation chromatography differential scanning calorimetry thermal gravimetric analysis and others
CHE564H1,Pulp and Paper Processes The processes of pulping bleaching and papermaking are used to illustrate and integrate chemical engineering principles Chemical reactions phase changes and heat mass and momentum transfer are discussed Processes are examined on four scales: molecular diffusional unit operations and mill In the tutorial each student makes several brief presentations on selected topics and entertains discussion
CHE565H1,Aqueous Process Engineering Application of aqueous chemical processing to mineral environmental and industrial engineering The course involves an introduction to the theory of electrolyte solutions mineral-water interfaces dissolution and crystallization processes metal ion separations and electrochemical processes in aqueous reactive systems Applications and practice of 1 metal recovery from primary ie ores and secondary ie recycled sources by hydrometallurgical means 2 treatment of aqueous waste streams for environmental protection and 3 production of high-value-added inorganic materials
CHE566H1,Elements of Nuclear Engineering A first course in nuclear engineering intended to introduce students to all aspects of this interdisciplinary field Topics covered include nuclear technology atomic and nuclear physics thermonuclear fusion nuclear fission nuclear reactor theory nuclear power plants radiation protection and shielding environment and nuclear safety and the nuclear fuel cycle
CHE568H1,Nuclear Engineering Fundamental and applied aspects of nuclear engineering The structure of the nucleus; nuclear stability and radioactive decay; the interaction of radiation with matter including radiological health hazards; the interaction of neutrons including cross-sections flux moderation fission neutron diffusion and criticality Poison buildup and their effects on criticality Nuclear engineering of reactors reactor accidents and safety issues
CIV100H1,Mechanics The principles of statics are applied to composition and resolution of forces moments and couples The equilibrium states of structures are examined Throughout the free body diagram concept is emphasized Vector algebra is used where it is most useful and stress blocks are introduced Shear force diagrams bending moment diagrams and stress-strain relationships for materials are discussed Stress and deformation in axially loaded members and flexural members beams are also covered
CIV102H1,Structures and Materials An introduction to the art and science of designing structures Topics include: 1 material bodies that sustain or resist force work energy stress and strain; 2 the properties of engineering materials strength stiffness ductility; 3 simple structural elements; 4 engineering beam theory; 5 stability of columns; 6 the practical problems which constrain the design of structures such as bridges towers pressure vessels dams ships aircraft bicycles birds and trees; and 7 design methods aimed at producing safe functional efficient and elegant structures
CIV185H1,Earth Systems Science This course introduces students to the basic earth sciences with an emphasis on understanding the impact of humans on the natural earth systems Beginning with a study of the lithosphere principles of physical geology will be examined including the evolution and internal structure of the earth dynamic processes that affect the earth formation of minerals and rocks and soil ore bodies and fossil- energy sources Next the biosphere will be studied including the basic concepts of ecology including systems ecology and biogeochemical cycles The influence of humans and the built environment on these natural systems will also be examined with a view to identifying more sustainable engineering practices Finally students will study the oceans and the atmosphere and the physical chemical and thermodynamic processes involved in climate change
CIV191H1,Introduction to Civil Engineering This is a seminar series that will preview the core fields in Engineering Each seminar will highlight one of the major areas of Engineering The format will vary and may include application examples challenges case studies career opportunities etc The purpose of the seminar series is to provide first year students with some understanding of the various options within the Faculty to enable them to make educated choices for second year This course will be offered on a credit/no credit basis
CIV201H1,Introduction to Civil Engineering A field-based course introducing students to current and historical civil engineering works in the urban and natural environments highlighting the role of the Civil Engineer in developing sustainable solutions It will run the Tuesday through Thursday immediately following Labour Day with follow-up assignments coordinated with the course CIV282 Engineering Communications I Students must have their own personal protective equipment PPE One night will be spent at the University of Toronto Survey Camp near Minden Ontario
CIV209H1,Civil Engineering Materials Deals with the basic principles necessary for the use and selection of materials used in Civil Engineering and points out the significance of these in practice Fundamentals which provide a common basis for the properties of various materials are stressed The laboratory time is devoted to demonstrations illustrating the fundamentals covered in lectures
CIV214H1,Structural Analysis I This course provides an introduction to the nature of loads and restraints and types of structural elements and then reviews the analysis of statically determinate structures Shear and moment diagrams for beams and frames are considered along with influence lines cantilever structures three-pin arches cables and fatigue Virtual work principles are viewed and applied to various structural systems An introduction to the analysis of indeterminate structures is made and the Portal method is applied to the analysis of building frames under lateral loads Displacement methods of an analysis including moment distribution are also studied
CIV220H1,Urban Engineering Ecology Core Course in the Environmental Engineering Minor Basic concepts of ecology within the context of urban environments Response of organisms populations dynamic predator-prey and competition processes and ecosystems to human activities Thermodynamic basis for food chains energy flow biodiversity and ecosystem stability Biogeochemical cycles habitat fragmentation and bioaccumulation Introduction to industrial ecology and life cycle assessment principles Urban metabolism and material flow analysis of cities Response of receiving waters to pollution and introduction to waste water treatment Emphasis is on identifying the environment/engineering interface and minimizing environmental impacts
CIV235H1,Civil Engineering Graphics Fluency in graphical communication skills as part of the civil engineering design process is emphasized Drawings are prepared making use of freehand sketching drafting equipment and commercially available computer drafting programs Topics in descriptive geometry are covered to develop spatial visualization skills Drawing procedures and standards relevant to Civil Engineering projects to be covered include layout and development of multiple orthographic views sectional views dimensioning and pictorial views Class projects assignments and examples demonstrate how graphical skills fit into the overall design process
CIV250H1,Hydraulics and Hydrology The hydrologic processes of precipitation and snowmelt evapotranspiration ground water movement and surface and subsurface runoff are examined Water resources sustainability issues are discussed including water usage and water shortages climate change impacts land use impacts and source water protection Conceptual models of the hydrologic cycle and basics of hydrologic modelling are developed including precipitation estimation infiltration and abstraction models runoff hydrographs the unit hydrograph method and the Rational method Methods for statistical analysis of hydrologic data concepts of risk and design and hydrological consequences of climate change for design are introduced Principles of open channel hydraulics are introduced Energy and momentum principles are studied with application to channel transitions critical flow choked flow and hydraulic jumps
CIV280H1,Management of Construction An introduction to the management of construction projects including: the nature of the industry project delivery alternatives legal and ethical considerations the Safety Act and construction regulations labour relations construction contracts risk distribution project planning and scheduling estimating and bidding controlling of time cost and quality accounting leading to financial statements dispute resolution as well as new and evolving concepts in managing construction
CIV282H1,Engineering Communications I This course develops students communications skills focusing on the specific skills required for work in foundational civil engineering Target communication areas include: Oral Presentation; Logical Argument; Document Development; Sentence and Discourse Control; and Visual Design The course will build capacity in support of specific assignments delivered in other courses in the same term
CIV300H1,Terrestrial Energy Systems Core Course in the Sustainable Energy Minor Various earth systems for energy transformation storage and transport are explored Geological hydrological biological cosmological and oceanographic energy systems are considered in the context of the Earth as a dynamic system including the variation of solar energy received by the planet and the redistribution of this energy through various radiative latent and sensible heat transfer mechanisms It considers the energy redistribution role of large scale atmospheric systems of warm and cold ocean currents the role of the polar regions and the functioning of various hydrological systems The contribution and influence of tectonic systems on the surface systems is briefly introduced as well the important role of energy storage processes in physical and biological systems including the accumulation of fossil fuel reserves
CIV301H1,Design of Hydro and Wind Electric Plants Introduction to the applications of turbo-machinery Description of typical wind and hydroelectric plants; different types of turbo-machines Fundamental fluid mechanics equations efficiency coefficients velocity triangles characteristic curves similarity laws specific speed vibration cavitation of hydraulic turbines pump/turbines; variable speed machines Estimation of main dimensions of machine units machine house waterways electrical and civil structure; transients and stability Layout of electric and storage plants Major and auxiliary equipments and systems Small and mini plants Case studies
CIV312H1,Steel and Timber Design An introduction to structural engineering design Topics discussed include safety and reliability load and resistance probability of failure performance factors and material properties A study of basic steel design examines tension members compression members beams framing concepts and connections Plasticity and composite action in steel structural systems are also discussed Timber design aspects include beams compression members and connections
CIV313H1,Reinforced Concrete I This course provides an introduction to the design of reinforced concrete structures Concrete technology properties of concrete and reinforcing steel construction practice and general code requirements are discussed Analysis and design of members under axial load flexure shear and restraint force are examined in detail Other aspects of design covered include control of cracks minimum and maximum reinforcement ratios fire resistance durability distress and failure A major design project done in teams of two and accounting for 15% of the final mark requires students to formulate a complete design for a structural system such as a pedestrian bridge or floor system Project requirements include consideration of alternative designs in terms of structural efficiency and total costs
CIV324H1,Geotechnical Engineering II Building on CME321 more complex aspects of geotechnical analysis and design are considered Topics include: mineralogy; soil identification and classification; laboratory- and field-based soil index tests; correlations of index test results to engineering properties; vertical stress distribution; soil-foundation interaction; volume change and consolidation of clay and settlement Shear strength of soil and slope stability analysis are also discussed Laboratories are held for soil identification and classification and confined triaxial compression tests of clay and sand
CIV331H1,Transport I This course introduces the fundamentals of transportation systems and the application of engineering mathematical and economic concepts and principles to address a variety of transportation issues in Canada Several major aspects of transportation engineering will be addressed including transportation planning public transit traffic engineering geometric design pavement design and the economic social and environmental impacts of transportation The course focuses on urban transportation engineering problems
CIV332H1,Transport II This course focuses on the fundamental techniques of transportation systems performance analysis with emphasis on congested traffic networks Topics include transportation demand supply and equilibrium traffic assignment network equilibrium and system optimality traffic flow theory shockwaves highway capacity analysis introduction to deterministic and stochastic queuing analyses intersection signal control types and related timing methods and traffic simulation The course also provides an introduction to basic elements of Intelligent Transportation Systems ITS
CIV340H1,Municipal Engineering Municipal service systems for water supply and wastewater disposal land development population forecasting and demand analysis Water supply: source development transmission storage pumping and distribution networks Sewerage and drainage sewer and culvert hydraulics collection networks and storm water management Maintenance and rehabilitation of water and wastewater systems and optimization of network design Design projects
CIV342H1,Water and Wastewater Treatment Processes Principles involved in the design and operation of water and wastewater treatment facilities are covered including physical chemical and biological unit operations advanced treatment and sludge processing
CIV375H1,Building Science The fundamentals of the science of heat transfer moisture diffusion and air movement are presented Using these fundamentals the principles of more sustainable building enclosure design including the design of walls and roofs are examined Selected case studies together with laboratory investigations are used to illustrate how the required indoor temperature and moisture conditions can be maintained using more durable and more sustainable designs
CIV380H1,Sustainable Energy Systems This course will provide students with knowledge of energy demand and supply from local to national scales Topics include energy demands throughout the economy major energy technologies how these technologies work how they are evaluated quantitatively their economics and their impacts on the environment In addition the ever changing context in which these technologies and emerging technologies are being implemented will be outlined Systems approaches including life cycle assessment will be refined and applied to evaluate energy systems A particular focus will be placed on analysis of energy alternatives within a carbon constrained economy
CIV382Y1,Civil Engineering Communication Portfolio Students will assemble a portfolio of communication assignments drawn from their second and third year Civil Engineering courses as a showcase of their ability to meet the graduate attributes for communication The student will demonstrate competence in discipline specific written oral and visual communication through the selection of assignments for the portfolio Each entry will be framed by a short introduction speaking to the context of the work and its significance in the portfolio Students whose communication work is not up to standard will be provided with opportunities for revision The course will be offered on a credit/no credit basis; students who receive no credit must retake the course in year 4
CIV401H1,Design and Optimization of Hydro and Wind Electric Plants The application of turbo-machinery including the design and operation of typical wind and hydroelectric plants from first principles to the various types of turbo-machines choices Fundamental fluid mechanics equations efficiency coefficients momentum exchanges characteristic curves similarity laws specific speed vibration cavitation of hydraulic turbines pump/turbines; variable speed machines including transients and hydraulic stability An introduction to overall system configuration and both component and system optimization Case studies
CIV416H1,Reinforced Concrete II This course covers the behaviour and ultimate strength of reinforced concrete structures Members subjected to flexure axial load shear and torsion are treated Detailing of reinforcement the design of floor systems and the design of shear walls are covered An introduction to the seismic design of reinforced concrete structures is made Emphasis is given to the relationship between recent research results and current building codes A brief treatment of the behaviour and design of masonry walls is included
CIV420H1,Construction Engineering This course considers the engineering aspects of construction including earthmoving equipment productivity fleet balancing formwork design shoring hoisting aggregate production equipment operating costs and modular construction Several construction projects will be reviewed to demonstrate methods and processes Students will be expected to visit construction sites so safety boots and hard hats are required
CIV440H1,Environmental Impact and Risk Assessment Core Course in the Environmental Engineering Minor The process and techniques for assessing and managing the impacts on and risks to humans and the ecosystem associated with engineered facilities processes and products Both biophysical and social impacts are addressed Topics include: environmental assessment processes; environmental legislation; techniques for assessing impacts; engineering risk analysis; health risk assessment; risk management and communication; social impact assessment; cumulative impacts; environmental management systems; the process of considering alternative methods for preventing and controlling impacts; and stakeholder involvement and public participation Examples are drawn from various engineering activities and facilities such as energy production chemical production treatment plants highways and landfills
CIV460H1,Engineering Project Finance and Management This course deals with the structuring valuing managing and financing of infrastructure projects The financing portion builds on material covered in Engineering Economics Key topics include; structuring projects valuing projects the rationale for project financing types of funds and financing project viability and financial modeling risk analysis externalities and social cost benefit analyses Financing of large scale projects by the public and private sectors as well as through public/private partnerships is treated in detail Project management concepts issues and procedures are introduced A series of case studies analyzing both successful and unsuccessful projects are examined
CIV477H1,Special Studies in Civil Engineering A course covering selected topics in Civil Engineering not covered in other electives The topics which may be different every year are selected by Staff Course may not be offered every year and there may be limited enrolment in particular years
CIV488H1,Entrepreneurship and Business for Engineers A complete introduction to small business formation management and wealth creation Topics include: the nature of the Entrepreneur and the Canadian business environment; business idea search and Business Plan construction; Buying a business franchising taking over a family business; Market research and sources of data; Marketing strategies promotion pricing advertising electronic channels and costing; The sales process and management distribution channels and global marketing; Accounting financing and analysis sources of funding and financial controls; The people dimension: management styles recruiting and hiring legal issues in employment and Human Resources; Legal forms of organization and business formation taxation intellectual property protection; the e-Business world and how businesses participate; Managing the business: location and equipping the business suppliers and purchasing credit ethical dealing; Exiting the business and succession selling out A full Business Plan will be developed by each student and the top submissions will be entered into a Business Plan competition with significant cash prices for the winners Examples will be drawn from real business situations including practicing entrepreneurs making presentations and class visits during the term Identical courses are offered in other Departments: MSE488H1 MIE488H1 ECE488H1 and CHE488H1
CIV498H1,Group Design Project The Group Design Project is a significant design experience that integrates the mathematics basic sciences engineering sciences complementary studies and detailed design aspects of the different civil engineering sub-disciplines
CIV499H1,Individual Project Individual Projects are arranged between the student and a supervising faculty member The individual project can have either a design project focus or a research focus If the focus is on design then the design project can be either motivated by the CIV498H1 Group Design Project and MIN466 Mineral Project Design experience or it can be entirely new The students work must culminate in a final design report or a thesis as well as an oral presentation The grading of both the final written submission as well as the oral presentation is carried out by the supervising faculty member The Individual Project may be undertaken only once either in the Fall F or Winter S Session 05 weight or as a full year Y course 10 weight 
CIV501H1,Building Energy Performance Simulation Building performance simulation BPS is the process of imitating/predicting aspects of building performance with computational building models The models draw heavily upon the disciplines of heat and mass transfer thermodynamics fluid mechanics light transmission and occupant behaviour BPS allows improving the design and operation of buildings through quantitative analysesThis course will provide students with theoretical knowledge and practical skills to effectively apply BPS tools in design and analysis contexts focusing on building heating and cooling loads building HVAC systems and whole-building HVAC energy consumption In addition various building science research methodologies and examples based on BPS will be presented As the course project students will be required to either perform building thermal/energy analysis of real buildings with BPS or conduct research on building science topics with BPS
CIV510H1,Solid Mechanics II This course provides a continuing study of the mechanics of deformable solids Stress and equilibrium conditions strain and compatibility conditions stress-strain relations and yield/failure criteria are considered in the context of civil engineering materials Two-and three-dimensional elasticity theory is developed with an introduction to the use of tensor notation Advanced topics in bending shear and torsion of beams are also covered as is elementary plate bending theory The course concludes with a further development and application of energy methods including virtual work potential energy strain energy and related approaches
CIV513H1,Collaborative Engineering and Architectural Design Studio Engineering and Architecture students are paired to form a design team for a specified building design project Lectures are given on design development aspects of structural system design the relationship of structure to program and function modeling and drawing digital modeling as well as topics related to the specific term design project Studio design experience to familiarize students with both the synergistic and divergent goals of the engineering and architectural design and to develop collaboration skills for optimizing the outcome of the interdisciplinary professional interaction Architecture students in this joint studio are enrolled in ARC3016Y S
CIV514H1,Concrete Technology Material aspects of concrete production will be dealt with in the context of various performance criteria with emphasis on durability The process of material selection proportioning mixing transporting placing and curing concrete will be the framework within which topics such as: the use of admixtures choice of cements environmental influences methods of consolidation and testing techniques will be studied
CIV515H1,Introduction to Structural Dynamics The concept of dynamic equilibrium and corresponding equation of motion will be introduced The theoretical solution of a songle degree of freedom system will be derived and the effects of verious types of loads such as impulse load sinusoidal load or random vibration on the structural response will be discussed To solve dynamic problems of multi-degree of freedom MDOF systems concepts of mass stiffness and damping matrix will be introduced which will be followed by eigen value analysis and modal analysis The concepts of Fourier Transformation will be introduced which will be used to interpret dynamic responses of structures or dynamic nature of applied loads Dynamic experiments of elastic systems will be demonstrated using an educational shaking table
CIV516H1,Public Transit Operations and Planning This course covers a broad range of topics in urban transit operations and planning with special emphasis on best-practice strategies of modern transit systems The course will help students: Learn the history of transit and its relationship to urban development emerging challenges transit role in society and new trends and issues; Understand and analyze the factors that affect transit performance and demand; Identify and analyze transit operational and planning problems; Identify possible solutions at the operational level mostly short-term and line-based and the strategic level mostly long-term and network-based and assess alternative solutions; Understand the relative performance of various transit modes both conventional and new modes and their domains of application; and gain knowledge of best-practice transit systems planning and emerging innovations
CIV517H1,Prestressed Concrete An introduction to procedures for predicting the load-deformation response of prestressed concrete elements and structures with emphasis on how these procedures can be used in the design of new structures and in the evaluation of existing structures Topics include: prestressing technology; control of cracking; response to axial load and flexure; response to shear and torsion; disturbed regions; restraint of deformations; design codes
CIV518H1,Behaviour and Design of Steel Structures The behaviour and design of trusses frames members and connections in steel building and bridge structures is presented and design methods are developed Ultimate strength stability and postbuckling are emphasized in topical examples including: plate girders composite steel/concrete girders second-order frame behaviour high-strength bolted and welded framing connections Design applications considering metal fatigue and brittle fracture and methods of plastic analysis are also introduced Canadian design standards and the Limit States Design concepts are used
CIV519H1,Structural Analysis II The general flexibility and stiffness methods of analysis; multispan beams trusses frames and grids; loadings due to force support displacement temperature change and member prestrain; axial and flexural stability; basic plasticity Topics in this course represent the basis for the finite element method of analysis
CIV521H1,Rock Mechanics This course provides general analytical tools and experimental methods that are used in rock mechanics The lectures are complemented with laboratory experiments Theoretical topics include: stress and strain linear elasticity failure modes and models of rocks fracture of rocks inelastic behavior of rock seismic waves in rocksExperiments include: preparation of rock samples uniaxial compressive strength measurements Brazilian disc tests for rock tensile strength fracture toughness measurements with core-based rock samples
CIV523H1,Geotechnical Design This course is built around a transportation project that contains all the essential geotechnical investigation and design elements and illustrates how they all come together on a project The students will be taken through the entire design process from project initiation to construction In essence the project will include a bridge over a river with some property constraints requiring the use of a retaining wall as well as deep and shallow foundations and some groundwater control The highway will require a soil cut One section crosses a low-lying swampy area that will require embankment construction over deep soft soils A short tunnel section is planned beneath a railway that cannot be taken out of service A pavement design will be required along the entire route as well as materials testing and construction monitoring
CIV531H1,"Transport Planning This course is intended to provide the student with the following: the ability to design and execute an urban transportation planning study; a working knowledge of transportation planning analysis skills including introductions to travel demand modelling analysis of environmental impacts modelling transportation - land use interactions and transportation project evaluation; an understanding of current transportation planning issues and policies; and an understanding of the overall process of transportation planning and its role within the wider context of transportation decision-making and the planning and design of urban areas Person-based travel in urban regions is the focus of this course but a brief introduction to freight and intercity passenger transportation is also provided A ""systems"" approach to transportation planning and analysis is introduced and maintained throughout the course Emphasis is placed throughout on designing transportation systems for long-run environmental social and economic sustainability"
CIV536H1,Urban Activity Air Pollution and Health This is an interdisciplinary course where the challenge of air pollution is introduced with a focus on urban areas The interdependencies between transportation air quality and health are demonstrated The city and the behaviour of its inhabitants constitute the context for the following course topics: overview of air pollutants in urban areas urban air quality monitoring networks mobile source emissions air pollution and meteorology atmospheric dispersion chemical processes specific to cities personal mobility and exposure to traffic-related air pollution epidemiology of air pollution 
CIV541H1,Environmental Biotechnology Principles involved in the design and operation of biologically-based treatment facilities are covered with considerations for energy efficiency and sustainability The course includes water / wastewater biological unit operations advanced treatment sludge processing and composting natural treatment systems and specialized bioengineered systems such as groundwater remediation and biological air treatment
CIV550H1,Water Resources Engineering Global and national water problems law and legislation Hydraulic structures Reservoir analysis Urban drainage and runoff control: meteorologic data analysis deterministic and stochastic modelling techniques Flood control: structural and nonstructural alternatives Power generation: hydro and thermal power generation Low flow augmentation Economics and decision making
CIV575H1,Studies in Building Science This course examines the basic principles governing the control of heat moisture and air movement in buildings and presents the fundamentals of building enclosure design With this background students are required to research advanced topics related to emerging areas of Building Science and to write and present to the class an individual comprehensive paper related to their research Lectures for this course will be jointly offered with those of CIV375H1
CIV576H1,Sustainable Buildings Building systems including the thermal envelope heating and cooling systems as well as water and lighting systems are examined with a view to reducing the net energy consumed within the building Life-cycle economic and assessment methods are applied to the evaluation of various design options including considerations of embodied energy and carbon sequestration Green building strategies including natural ventilation passive solar photovoltaics solar water heaters green roofs and geothermal energy piles are introduced Following the application of these methods students are introduced to efficient designs including LEED designs that lessen the impact of buildings on the environment Exemplary building designs will be presented and analyzed
CIV577H1,Infrastructure for Sustainable Cities Developing infrastructure for sustainable cities entails understanding the connection between urban morphology and physiology This course uses a systems approach to analyzing anthropogenic material flow and other components of urban metabolism linking them to the design of urban infrastructure Elements of sustainable transportation green buildings urban climatology urban vegetation water systems and local energy supply are integrated in the design of sustainable urban neighbourhoods
CIV578H1,Design of Building Enclosures A brief summary of the science involved in controlling heat moisture and air movement in buildings is presented at the outset of the course With this background methods of designing enclosures for cold mixed and hot climates are examined Design principles related to the design of walls windows and roofs are presented and applied In particular topics related to the control of rain penetration air movement and interstitial condensation are studied in detail Emphasis is placed on developing designs based on fundamentals which can be verified with computer modelling solutions 
CIV580H1,Engineering and Management of Large Projects This technical elective course will investigate the role of stakeholders in major civil engineering projects; the complexities of managing project stages multiple stakeholders and technical challenges and social and environmental factors
CME210H1,Solid Mechanics I An introduction to the mechanics of deformable bodies General biaxial and triaxial stress conditions in continua are studied as are elastic stress strain and deformation relations for members subjected to axial load bending and shear Properties of plane sections moment-area theorems for calculating deflection and Mohrs circle representation of stress and of moment of inertia are examined followed by a look at stability
CME259H1,Technology in Society and the Biosphere I Humanities and Social Science ElectiveThis course teaches future engineers to look beyond their specialized domains of expertise in order to understand how technology functions within human life society and the biosphere By providing this context for design and decision-making students will be enabled to do more than achieve the desired results by also preventing or significantly reducing undesired consequences A more preventively-oriented mode of practicing engineering will be developed in four areas of application: materials and production energy work and cities The emphasis within these topics will reflect the interests of the class
CME261H1,Engineering Mathematics I This course deals with both numerical methods for engineering analysis solution of linear and non-linear equations interpolation numerical integration and advanced topics in analytical calculus multiple integrals and vector analysis Within the numerical methods portion of the course emphasis is placed on problem formulation solution algorithm design and programming applications Within the analytical calculus portion emphasis is placed on the mathematical foundations of engineering practice and the interrelationship between analytical and numerical solution methods
CME262H1,Engineering Mathematics II This course continues the study of numerical and analytical methods for civil engineering analysis Analytical and numerical methods for solving ordinary differential equations are treated in some detail followed by numerical solution methods for partial differential equations The final major topic of the course deals with an introduction to optimization Emphasis is placed throughout the course on problem formulation solution algorithm design and programming applications
CME263H1,Probability Theory for Civil and Mineral Engineers Probability theory as the study of random phenomena in Civil and Mineral Engineering systems including the definition of probability conditional probability Bayes theorem in discrete and continuous sample spaces Common single and multivariate distributions Mathematical expectation including mean and variance Independence An introduction to realizations of probability models and parameter estimation
CME270H1,Fluid Mechanics I Fluid and flow characteristics applications dimensions and units Fluid statics One-dimensional flow including conservation of mass energy and momentum Introduction to dimensional analysis and similitude laminar and turbulent flow boundary layer concept and flow about immersed objects Calculation of flow in closed conduits and open channels
CME321H1,Geotechnical Engineering I An introduction to elements of geotechnical analysis and design Basic site investigation techniques and quantitative descriptions of soil properties and behaviour Permeability seepage analysis and internal stability of granular soil; granular filter design for internal hydraulic stability Compaction of granular soil; engineered fills for earth dams road bases and backfills Soil shear strength at constant volume; ultimate limit state design of retaining walls shallow footings natural slopes and constructed embankments Groundwater flow analysis and slope stability analysis using commercial software Physical laboratories for basic soil identification model groundwater flow analysis direct shear strength tests and reinforced earth models 
CME358H1,Survey CAMP Civil and Mineral Practicals This two-week August field camp provides students with the opportunity to further their understanding of the vital interactions between the natural and the built environments Through fieldwork students gain hands-on experience in the use of various field instruments used by Civil and Mineral Engineers The essentials of land surveying and the use of surveying instruments including Global Positioning Systems are taught as students carry out a series of field exercises that include route surveys topographic surveys and construction surveys Survey calculations sources of error corrections and adjustments are also introduced In order to better understand our impact on the natural environment students also perform several additional exercises These may include the measurement of river flows remote sensing of soil and rock remediation of a borrow pit and the evaluation of the renewable energy potential of the wind and solar radiation Note: This course requires payment of an extra fee for room and board
CME368H1,Engineering Economics and Decision Making The incorporation of economic and non-monetary considerations for making decision about public and private sector engineering systems in urban and other contexts Topics include rational decision making; cost concepts; time value of money and engineering economics; microeconomic concepts; treatment of risk and uncertainty; and public project evaluation techniques incorporating social and environmental impacts including benefit cost analysis and multi-objective analysis
CME499H1,Individual Project Individual Projects are arranged between the student and a supervising faculty member The individual project can have either a design project focus or a research focus If the focus is on design then the design project can be either motivated by the CIV498H1 Group Design Project and MIN466 Mineral Project Design experience or it can be entirely new The students work must culminate in a final design report or a thesis as well as an oral presentation The grading of both the final written submission as well as the oral presentation is carried out by the supervising faculty member The Individual Project may be undertaken only once either in the Fall F or Winter S Session 05 weight or as a full year Y course 10 weight
CME499Y1,"Individual Project Individual Projects are arranged between the student and a supervising faculty member The individual project can have either a design project focus or a research focus If the focus is on design then the design project can be either motivated by the CIV498H1"">CIV498H1 Group Design Project experience or it can be entirely new The students work must culminate in a final design report or a thesis as well as an oral presentation The grading of both the final written submission as well as the oral presentation is carried out by the supervising faculty member The Individual Project may be undertaken in either the Fall F or Winter S Session but not both ie the Individual Project carries a maximum weight of 05; it cannot be made into a full year course"
CME500H1,Fundamentals of Acid Rock Drainage Geochemistry of acid rock / acid mine drainage ARD/AMD which covers the role of bacteria in generating this global mining pollution issue and how mines currently treat and attempt to prevent it An introduction to the underlying chemical reactions involved the role of microbes in these processes and the mitigation and treatment strategies currently available
CME525H1,Tunneling and Urban Excavation Introduces fundamental concepts of underground tunneling and its impact on surrounding urban environment Topics: role of geology on the choice of tunneling methodology; classical and mechanized tunneling excavation methods; interaction between tunnel and surrounding structures; tunnel support methodologies; innovation and current research in tunneling and underground construction
CME538H1,Introduction to Data Science for Civil and Mineral Engineers  Bridges between APS106H1 and CME263H1 and upper-level machine learning computer science and statistics courses Explores key areas of Data Science including question formulation data collection and cleaning visualization and applied machine learning All lessons are taught with code and a strong emphasis is placed on the development of a solid foundation in computer programming This course touches on a range of topics from visualization to machine learning which we believe serves to enhance the learning experience for students by allowing them to gain an appreciation for the close interplay between these topics This course is introductory and is meant to develop a solid foundation to build on with more advanced courses offered by ECE MIE and CS
